키워드,자동완성순위,경쟁영상수,기회점수,살아있나,측정일
에타비아 유후인에키마에,1,2,10,○,2026-08-12
유후인 코토부키 하나노쇼,1,29,6.84,○,2026-08-12
유후인 숙소 추천,1,565,3.63,○,2026-08-12
유후인 호텔 추천,1,639,3.56,○,2026-08-12
유후인 숙소 위치,3,197,3.49,○,2026-08-12
유후인 숙소,1,1968,3.04,○,2026-08-12
유후인 가성비 숙소,4,249,2.92,○,2026-08-12
유후인 호텔,1,8798,2.54,○,2026-08-12
유후인 여행,1,91135,2.02,○,2026-08-12
일본 유후인 여행,7,72414,0.82,○,2026-08-12
일본 유후인 숙소,9,1797,0.61,○,2026-08-12
유후인 료칸 노기쿠,없음,129,0,✗ 죽은키워드,2026-08-12
유후인 하나노쇼,변형,조회실패,0,○,2026-08-12
유후인숙소추천,붙여쓰기,566,0,—,2026-08-12
유후인코토부키하나노쇼,붙여쓰기,29,0,—,2026-08-12
유후인호텔추천,붙여쓰기,조회실패,0,—,2026-08-12
