page,line,original,token,property,selector
admin-status,16,#0f172a,⚠️ 미매핑,?,:root
admin-status,17,#1e293b,⚠️ 미매핑,?,:root
admin-status,18,#0c1322,⚠️ 미매핑,?,:root
admin-status,19,#334155,⚠️ 미매핑,border,:root
admin-status,20,#f1f5f9,⚠️ 미매핑,?,:root
admin-status,21,#94a3b8,⚠️ 미매핑,?,:root
admin-status,22,#8b5cf6,⚠️ 미매핑,?,:root
admin-status,23,#ec4899,--aurora-2,?,:root
admin-status,24,#06b6d4,--info,?,:root
admin-status,25,#16a34a,--auto,?,:root
admin-status,26,#2563eb,--staff,?,:root
admin-status,27,#9333ea,⚠️ 미매핑,?,:root
admin-status,28,#dc2626,⚠️ 미매핑,?,:root
admin-status,29,#dc2626,⚠️ 미매핑,?,:root
admin-status,30,#ea580c,⚠️ 미매핑,?,:root
admin-status,31,#ca8a04,--ceo,?,:root
admin-status,33,#16a34a,--auto,?,:root
admin-status,34,"rgba(22,163,74,0.10)",--auto-bg,?,:root
admin-status,35,#86efac,--auto-text,?,:root
admin-status,36,#2563eb,--staff,?,:root
admin-status,37,"rgba(96,165,250,0.10)",--staff-bg,?,:root
admin-status,38,#93c5fd,--staff-text,?,:root
admin-status,39,#ca8a04,--ceo,?,:root
admin-status,40,"rgba(251,191,36,0.10)",--ceo-bg,?,:root
admin-status,41,#fcd34d,--ceo-text,?,:root
admin-status,60,#60a5fa,⚠️ 미매핑,color,.header-title .subtitle a
admin-status,71,"rgba(220,38,38,0.18)",⚠️ 미매핑,background,.deadline-banner
admin-status,71,"rgba(234,88,12,0.10)",⚠️ 미매핑,background,.deadline-banner
admin-status,78,#fca5a5,⚠️ 미매핑,color,.deadline-banner .title
admin-status,79,#cbd5e1,⚠️ 미매핑,color,.deadline-banner .detail
admin-status,83,"rgba(139,92,246,0.10)",⚠️ 미매핑,background,.avg-card
admin-status,83,"rgba(6,182,212,0.05)",⚠️ 미매핑,background,.avg-card
admin-status,84,"rgba(139,92,246,0.3)",⚠️ 미매핑,border,.avg-card
admin-status,106,"rgba(22,163,74,0.4)",⚠️ 미매핑,background,.stat-card.auto
admin-status,107,"rgba(96,165,250,0.4)",⚠️ 미매핑,background,.stat-card.staff
admin-status,108,"rgba(251,191,36,0.4)",⚠️ 미매핑,background,.stat-card.ceo
admin-status,109,"rgba(148,163,184,0.10)",⚠️ 미매핑,background,.stat-card.charter
admin-status,109,"rgba(148,163,184,0.3)",⚠️ 미매핑,background,.stat-card.charter
admin-status,114,#cbd5e1,⚠️ 미매핑,color,.stat-card.charter .stat-label
admin-status,125,"rgba(99,102,241,0.3)",⚠️ 미매핑,box-shadow,.stat-card.active-filter
admin-status,143,"rgba(236, 72, 153, 0.08)",⚠️ 미매핑,background,.top-row.linked-highlight
